oaColorName;publicationId;year;publisherId;publisherName;journalId;journalTitle
Grün;pub.1000001373;2015;pblshr.1000014;American Mathematical Society (AMS);jour.1066836;Quarterly of Applied Mathematics
Closed;pub.1000008734;2016;pblshr.1000317;AIP Publishing;jour.1077136;Journal of Applied Physics
Gold;pub.1000028740;2016;pblshr.1000235;American Society for Microbiology;jour.1047634;Microbiology Resource Announcements
Closed;pub.1000039422;2016;pblshr.1000078;Elsevier;jour.1312241;Nuclear Instruments and Methods in Physics Research Section A Accelerators Spectrometers Detectors and Associated Equipment
Bronze;pub.1000077941;2017;pblshr.1000311;Wiley;jour.1312252;European Journal of Inorganic Chemistry
Gold;pub.1000080542;2015;pblshr.1000297;Springer Nature;jour.1049394;The European Physical Journal C
Gold;pub.1000090385;2016;pblshr.1004374;eLife;jour.1046517;eLife
Gold;pub.1000093891;2016;pblshr.1000297;Springer Nature;jour.1045337;Scientific Reports
Closed;pub.1000105674;2016;pblshr.1000078;Elsevier;jour.1131112;European Journal of Soil Biology
Closed;pub.1000108878;2016;pblshr.1000311;Wiley;jour.1050189;Advanced Materials Interfaces
Gold;pub.1000109864;2016;pblshr.1000340;Public Library of Science (PLoS);jour.1037553;PLoS ONE
Closed;pub.1000113536;2015;pblshr.1000078;Elsevier;jour.1137268;Catena
Closed;pub.1000118931;2017;pblshr.1000078;Elsevier;jour.1052638;International Business Review
Grün;pub.1000126600;2017;pblshr.1000311;Wiley;jour.1132303;Global Change Biology
Grün;pub.1000147137;2018;pblshr.1000297;Springer Nature;jour.1136853;Journal of Theoretical Probability
Closed;pub.1000180103;2015;pblshr.1000297;Springer Nature;jour.1136146;4OR
Closed;pub.1000184842;2016;pblshr.1000078;Elsevier;jour.1137459;Geothermics
Grün;pub.1000188390;2016;pblshr.1000056;Cambridge University Press (CUP);jour.1026120;Geological Magazine
Closed;pub.1000188573;2015;pblshr.1000297;Springer Nature;jour.1097065;Leukemia
Closed;pub.1000221962;2015;pblshr.1000297;Springer Nature;jour.1090096;Neurosurgical Review
Gold;pub.1000230255;2016;pblshr.1000297;Springer Nature;jour.1024638;BMC Plant Biology
Closed;pub.1000237480;2015;pblshr.1000078;Elsevier;jour.1313661;International Journal of Cardiology
Grün;pub.1000264881;2017;pblshr.1000301;Taylor & Francis;jour.1126813;Journal of Applied Statistics
Hybrid;pub.1000268416;2016;pblshr.1000016;American Physical Society (APS);jour.1320496;Physical Review D
Closed;pub.1000277843;2015;pblshr.1000311;Wiley;jour.1125946;Flavour and Fragrance Journal
Closed;pub.1000280667;2016;pblshr.1000297;Springer Nature;jour.1358305;Frontiers of Computer Science
Gold;pub.1000285476;2016;pblshr.1001965;Frontiers;jour.1044458;Frontiers in Microbiology
Closed;pub.1000298405;2016;pblshr.1000078;Elsevier;jour.1040906;Composites Part A Applied Science and Manufacturing
Closed;pub.1000301017;2015;pblshr.1000078;Elsevier;jour.1014434;Plant Physiology and Biochemistry
Grün;pub.1000309066;2016;pblshr.1000297;Springer Nature;jour.1034717;Nature Physics
Grün;pub.1000327053;2015;pblshr.1000028;American Society for Biochemistry & Molecular Biology (ASBMB);jour.1077138;Journal of Biological Chemistry
Gold;pub.1000331626;2015;pblshr.1000297;Springer Nature;jour.1024257;BMC Neuroscience
Grün;pub.1000335940;2015;pblshr.1000297;Springer Nature;jour.1005222;Pflügers Archiv - European Journal of Physiology
Closed;pub.1000362091;2017;pblshr.1000297;Springer Nature;jour.1050124;Urban Ecosystems
Closed;pub.1000375539;2015;pblshr.1000311;Wiley;jour.1127917;Starch - Stärke
Closed;pub.1000379988;2016;pblshr.1000078;Elsevier;jour.1132096;Atmospheric Environment
Closed;pub.1000404729;2016;pblshr.1000140;Emerald;jour.1154583;Cross Cultural & Strategic Management
Gold;pub.1000416812;2016;pblshr.1001965;Frontiers;jour.1040225;Frontiers in Neural Circuits
Grün;pub.1000438143;2016;pblshr.1000297;Springer Nature;jour.1052061;General Relativity and Gravitation
Grün;pub.1000442166;2016;pblshr.1000374;De Gruyter;jour.1147783;Journal of Globalization and Development
Gold;pub.1000456677;2016;pblshr.1000297;Springer Nature;jour.1049394;The European Physical Journal C
Closed;pub.1000499169;2016;pblshr.1007437;IOS Press;jour.1092621;Clinical Hemorheology and Microcirculation
Gold;pub.1000535704;2016;pblshr.1000297;Springer Nature;jour.1052482;Journal of High Energy Physics
Gold;pub.1000538805;2016;pblshr.1000297;Springer Nature;jour.1049394;The European Physical Journal C
Grün;pub.1000556476;2016;pblshr.1000311;Wiley;jour.1027780;JCMS Journal of Common Market Studies
Gold;pub.1000566779;2016;pblshr.1000317;AIP Publishing;jour.1045519;AIP Advances
Hybrid;pub.1000574471;2015;pblshr.1000016;American Physical Society (APS);jour.1018277;Physical Review Letters
Gold;pub.1000580685;2015;pblshr.1003145;Copernicus Publications;jour.1284254;Biogeosciences
Gold;pub.1000589523;2015;pblshr.1000340;Public Library of Science (PLoS);jour.1037553;PLoS ONE
Closed;pub.1000606135;2015;pblshr.1000297;Springer Nature;jour.1004761;European Archives of Oto-Rhino-Laryngology
Hybrid;pub.1000608673;2015;pblshr.1000016;American Physical Society (APS);jour.1018277;Physical Review Letters
Gold;pub.1000621177;2015;pblshr.1000297;Springer Nature;jour.1043282;Nature Communications
Closed;pub.1000659707;2016;pblshr.1000311;Wiley;jour.1114579;Chemistry - A European Journal
Gold;pub.1000671645;2016;pblshr.1000078;Elsevier;jour.1046010;Cell Reports
Grün;pub.1000688942;2016;pblshr.1000056;Cambridge University Press (CUP);jour.1024602;Harvard Theological Review
Gold;pub.1000690160;2015;pblshr.1000235;American Society for Microbiology;jour.1047634;Microbiology Resource Announcements
Gold;pub.1000693393;2015;pblshr.1000297;Springer Nature;jour.1052482;Journal of High Energy Physics
Closed;pub.1000694653;2016;pblshr.1000078;Elsevier;jour.1030151;Forest Ecology and Management
Closed;pub.1000703139;2015;pblshr.1000311;Wiley;jour.1312252;European Journal of Inorganic Chemistry
Closed;pub.1000716343;2016;pblshr.1000078;Elsevier;jour.1015499;The Science of The Total Environment
Closed;pub.1000717426;2016;pblshr.1000311;Wiley;jour.1098996;Molecular Reproduction and Development
Closed;pub.1000731206;2016;pblshr.1000374;De Gruyter;jour.1140469;i-com - Journal of Interactive Media
Closed;pub.1000781916;2015;pblshr.1000078;Elsevier;jour.1117441;European Journal of Paediatric Neurology
Closed;pub.1000786170;2016;pblshr.1000078;Elsevier;jour.1097961;Schizophrenia Research
Gold;pub.1000790142;2016;pblshr.1001968;MDPI;jour.1044868;Materials
Bronze;pub.1000817474;2015;pblshr.1000078;Elsevier;jour.1093746;Journal of the American College of Cardiology
Grün;pub.1000830134;2017;pblshr.1000311;Wiley;jour.1103313;Experimental Dermatology
Hybrid;pub.1000860233;2016;pblshr.1000078;Elsevier;jour.1027840;Land Use Policy
Closed;pub.1000881317;2016;pblshr.1000078;Elsevier;jour.1031000;Field Crops Research
Closed;pub.1000898367;2016;pblshr.1000078;Elsevier;jour.1143135;Engineering in Agriculture Environment and Food
Hybrid;pub.1000914259;2015;pblshr.1000016;American Physical Society (APS);jour.1320496;Physical Review D
Grün;pub.1000929594;2015;;;jour.1022148;Cochrane Database of Systematic Reviews
Hybrid;pub.1000949514;2015;pblshr.1000016;American Physical Society (APS);jour.1018277;Physical Review Letters
Closed;pub.1000958039;2016;pblshr.1000297;Springer Nature;jour.1086396;Environmental Management
Closed;pub.1000971086;2016;pblshr.1000311;Wiley;jour.1027377;Oxford Bulletin of Economics and Statistics
Closed;pub.1000972995;2015;pblshr.1000078;Elsevier;jour.1137459;Geothermics
Closed;pub.1000975807;2016;pblshr.1000078;Elsevier;jour.1040091;Marine Genomics
Hybrid;pub.1000978588;2016;pblshr.1000078;Elsevier;jour.1029510;Agriculture Ecosystems & Environment
Closed;pub.1000996613;2015;pblshr.1000311;Wiley;jour.1004769;Zeitschrift für anorganische und allgemeine Chemie
Grün;pub.1001010005;2015;pblshr.1000078;Elsevier;jour.1031800;Journal of Chiropractic Medicine
Hybrid;pub.1001022769;2015;pblshr.1000297;Springer Nature;jour.1135804;Theoretical and Applied Genetics
Grün;pub.1001024375;2015;pblshr.1000311;Wiley;jour.1022714;Freshwater Biology
Closed;pub.1001025033;2016;pblshr.1000078;Elsevier;jour.1013552;Soil Biology and Biochemistry
Closed;pub.1001030932;2015;pblshr.1000078;Elsevier;jour.1009651;Physiology & Behavior
Gold;pub.1001034284;2015;pblshr.1000297;Springer Nature;jour.1052482;Journal of High Energy Physics
Hybrid;pub.1001035376;2016;pblshr.1000311;Wiley;jour.1053340;Energy Technology
Gold;pub.1001047013;2016;pblshr.1000297;Springer Nature;jour.1052482;Journal of High Energy Physics
Gold;pub.1001065411;2015;pblshr.1000221;American Association for the Advancement of Science (AAAS);jour.1051517;Science Advances
Gold;pub.1001068104;2015;pblshr.1000340;Public Library of Science (PLoS);jour.1037553;PLoS ONE
Gold;pub.1001070484;2016;pblshr.1000297;Springer Nature;jour.1023790;BMC Genomics
Hybrid;pub.1001076286;2015;pblshr.1000078;Elsevier;jour.1312002;Journal of Organometallic Chemistry
Gold;pub.1001078583;2016;pblshr.1001965;Frontiers;jour.1144570;Frontiers in Earth Science
Bronze;pub.1001109735;2016;pblshr.1000297;Springer Nature;jour.1313639;Intensive Care Medicine
Closed;pub.1001110026;2016;pblshr.1000078;Elsevier;jour.1045365;Ecological Informatics
Grün;pub.1001154572;2015;pblshr.1000341;Proceedings of the National Academy of Sciences;jour.1082971;Proceedings of the National Academy of Sciences
Gold;pub.1001175779;2015;pblshr.1000266;IOP Publishing;jour.1038948;New Journal of Physics
Bronze;pub.1001178937;2015;pblshr.1000286;Oxford University Press (OUP);jour.1093521;Chemical Senses
Closed;pub.1001190000;2017;pblshr.1000311;Wiley;jour.1028665;Australian Journal of Agricultural and Resource Economics
Grün;pub.1001207956;2015;pblshr.1000311;Wiley;jour.1005600;Ecology
Gold;pub.1001231772;2016;pblshr.1001965;Frontiers;jour.1044458;Frontiers in Microbiology
Gold;pub.1001246649;2016;pblshr.1000078;Elsevier;jour.1094748;Physics Letters B
Gold;pub.1001264305;2015;pblshr.1000235;American Society for Microbiology;jour.1047634;Microbiology Resource Announcements
Closed;pub.1001300649;2016;pblshr.1000297;Springer Nature;jour.1126575;Plant and Soil
Closed;pub.1001328389;2016;pblshr.1000297;Springer Nature;jour.1135927;Arabian Journal of Geosciences
Grün;pub.1001331683;2015;pblshr.1000311;Wiley;jour.1131478;Diversity and Distributions
Closed;pub.1001334862;2015;pblshr.1000078;Elsevier;jour.1113451;Journal of Cardiac Failure
Hybrid;pub.1001356118;2015;pblshr.1000078;Elsevier;jour.1114940;Biology of Blood and Marrow Transplantation
Closed;pub.1001356951;2015;pblshr.1000078;Elsevier;jour.1027345;Economics Letters
Hybrid;pub.1001368575;2015;pblshr.1000016;American Physical Society (APS);jour.1018277;Physical Review Letters
Closed;pub.1001375825;2015;pblshr.1000311;Wiley;jour.1371476;Acta Geologica Sinica - English Edition
Closed;pub.1001378581;2015;pblshr.1000311;Wiley;jour.1114579;Chemistry - A European Journal
Closed;pub.1001382416;2016;pblshr.1000078;Elsevier;jour.1044002;Journal of Cleaner Production
Gold;pub.1001383987;2016;pblshr.1000235;American Society for Microbiology;jour.1047634;Microbiology Resource Announcements
Grün;pub.1001405700;2016;pblshr.1000078;Elsevier;jour.1137268;Catena
Closed;pub.1001422056;2016;pblshr.1000311;Wiley;jour.1357526;physica status solidi (a) – applications and materials science
Closed;pub.1001452810;2016;pblshr.1000297;Springer Nature;jour.1284232;Synthese
Closed;pub.1001453980;2015;pblshr.1000311;Wiley;jour.1043867;Journal of Plant Nutrition and Soil Science
Closed;pub.1001456196;2016;pblshr.1000311;Wiley;jour.1103313;Experimental Dermatology
Closed;pub.1001488915;2016;pblshr.1000078;Elsevier;jour.1044002;Journal of Cleaner Production
Hybrid;pub.1001513646;2015;pblshr.1000292;Royal Society of Chemistry (RSC);jour.1100826;Physical Chemistry Chemical Physics
Closed;pub.1001513803;2016;pblshr.1000311;Wiley;jour.1040947;Macromolecular Reaction Engineering
Gold;pub.1001525706;2016;pblshr.1000297;Springer Nature;jour.1045337;Scientific Reports
Closed;pub.1001543962;2015;pblshr.1000311;Wiley;jour.1114579;Chemistry - A European Journal
Closed;pub.1001568398;2016;pblshr.1000297;Springer Nature;jour.1018957;Nature
Closed;pub.1001583522;2015;pblshr.1000078;Elsevier;jour.1030151;Forest Ecology and Management
Gold;pub.1001611933;2017;pblshr.1000311;Wiley;jour.1050123;Conservation Letters
Bronze;pub.1001621110;2015;pblshr.1000286;Oxford University Press (OUP);jour.1126669;Journal of Experimental Botany
Closed;pub.1001648373;2016;pblshr.1000050;Brill Academic Publishers;jour.1155649;Journal of Abbasid Studies
Closed;pub.1001676146;2016;pblshr.1000301;Taylor & Francis;jour.1053031;Quantitative Finance
Closed;pub.1001700670;2016;pblshr.1000078;Elsevier;jour.1312002;Journal of Organometallic Chemistry
Closed;pub.1001752955;2015;pblshr.1000078;Elsevier;jour.1086213;Annales de Dermatologie et de Vénéréologie
Closed;pub.1001759034;2015;pblshr.1000297;Springer Nature;jour.1009634;The Journal of Antibiotics
Gold;pub.1001764033;2015;pblshr.1000297;Springer Nature;jour.1030439;Critical Reviews in Computed Tomography
Grün;pub.1001768717;2017;pblshr.1000301;Taylor & Francis;jour.1122903;The Journal of Development Studies
Hybrid;pub.1001788216;2015;pblshr.1000297;Springer Nature;jour.1018945;Archives of Microbiology
Closed;pub.1001796404;2015;pblshr.1000311;Wiley;jour.1104001;Plant Cell & Environment
Closed;pub.1001803132;2015;pblshr.1000311;Wiley;jour.1004769;Zeitschrift für anorganische und allgemeine Chemie
Closed;pub.1001816687;2016;pblshr.1000078;Elsevier;jour.1028245;Landscape and Urban Planning
Closed;pub.1001825907;2016;pblshr.1000078;Elsevier;jour.1131112;European Journal of Soil Biology
Grün;pub.1001828048;2016;pblshr.1000311;Wiley;jour.1137461;Journal of Agricultural Economics
Closed;pub.1001833025;2015;pblshr.1000297;Springer Nature;jour.1136548;KI - Künstliche Intelligenz
Gold;pub.1001847715;2015;pblshr.1001965;Frontiers;jour.1144570;Frontiers in Earth Science
Hybrid;pub.1001867498;2017;pblshr.1000311;Wiley;jour.1019381;Biological Reviews
Grün;pub.1001878117;2016;pblshr.1000311;Wiley;jour.1023179;Angewandte Chemie
Closed;pub.1001890733;2016;pblshr.1000078;Elsevier;jour.1052404;International Journal of Coal Geology
Gold;pub.1001890750;2015;pblshr.1000235;American Society for Microbiology;jour.1047634;Microbiology Resource Announcements
Gold;pub.1001894353;2015;pblshr.1000297;Springer Nature;jour.1051155;Animal Biotelemetry
Closed;pub.1001897017;2016;pblshr.1000078;Elsevier;jour.1096638;Cognitive Development
Closed;pub.1001911496;2016;pblshr.1000311;Wiley;jour.1099681;American Journal of Human Biology
