oaColorName;publicationId;year;publisherId;publisherName;journalId;journalTitle
Grün;pub.1000015302;2015;pblshr.1000179;SAGE Publications;jour.1092815;Journal of Cerebral Blood Flow & Metabolism
Gold;pub.1000026287;2015;pblshr.1001968;MDPI;jour.1028874;International Journal of Molecular Sciences
Gold;pub.1000043478;2015;pblshr.1000098;Hindawi;jour.1102513;Mediators of Inflammation
Gold;pub.1000090385;2016;pblshr.1004374;eLife;jour.1046517;eLife
Gold;pub.1000109864;2016;pblshr.1000340;Public Library of Science (PLoS);jour.1037553;PLoS ONE
Gold;pub.1000152928;2015;pblshr.1000297;Springer Nature;jour.1043282;Nature Communications
Grün;pub.1000176702;2015;pblshr.1000311;Wiley;jour.1086831;Annals of Neurology
Closed;pub.1000190738;2016;pblshr.1000297;Springer Nature;jour.1358261;Acta Neurochirurgica
Gold;pub.1000229223;2016;pblshr.1000297;Springer Nature;jour.1030439;Critical Reviews in Computed Tomography
Closed;pub.1000252402;2015;pblshr.1000078;Elsevier;jour.1086766;Leukemia Research
Closed;pub.1000282398;2015;pblshr.1000297;Springer Nature;jour.1136712;InFo Neurologie & Psychiatrie
Closed;pub.1000289355;2016;pblshr.1000078;Elsevier;jour.1016817;World Neurosurgery
Closed;pub.1000354436;2015;pblshr.1000010;American Medical Association (AMA);jour.1017255;JAMA Neurology
Hybrid;pub.1000402232;2016;pblshr.1000311;Wiley;jour.1294875;Catheterization and Cardiovascular Interventions
Gold;pub.1000415069;2015;pblshr.1000311;Wiley;jour.1052536;ESC Heart Failure
Grün;pub.1000452153;2015;pblshr.1000297;Springer Nature;jour.1037516;Journal of Medical Toxicology
Gold;pub.1000490395;2015;pblshr.1000297;Springer Nature;jour.1035303;Head & Face Medicine
Gold;pub.1000524275;2015;pblshr.1000297;Springer Nature;jour.1039457;BMC Research Notes
Grün;pub.1000525101;2017;pblshr.1000297;Springer Nature;jour.1345537;Nature Reviews Cardiology
